Pango lineage,antigenic_score,frequency,zscore,significant,date
BA.2.38.3,32.04422184323692,1.2051082126919586e-06,,no,03-2022
BN.3.1,21.03016678130332,1.2051082126919586e-06,,no,03-2022
XBB.1.5.37,20.82871770719221,1.2051082126919586e-06,,no,03-2022
XBB.1.5.20,20.8239983339999,3.615324638075876e-06,,no,03-2022
XBB.1.5.2,20.68271770719221,1.2051082126919586e-06,,no,03-2022
CH.1.1.11,20.659426040525545,1.2051082126919586e-06,,no,03-2022
XBB.1.5,20.564533946512725,1.566640676499546e-05,,no,03-2022
FY.6,20.37021770719221,1.2051082126919586e-06,,no,03-2022
XBB.1.9.1,20.37021770719221,1.2051082126919586e-06,,no,03-2022
XBB.1.5.49,20.37021770719221,1.2051082126919586e-06,,no,03-2022
XBB.1.5.33,20.37021770719221,1.2051082126919586e-06,,no,03-2022
BN.1.3.1,20.346926040525545,1.2051082126919586e-06,,no,03-2022
BA.2.75.2,20.317229070889173,1.2051082126919586e-06,,no,03-2022
XBB.1.5.5,19.611358183092207,1.2051082126919586e-06,,no,03-2022
BL.1,19.375259373858874,1.2051082126919586e-06,,no,03-2022
BN.1.9,18.601926040525544,1.2051082126919586e-06,,no,03-2022
BQ.1.1.18,18.383287151192214,1.2051082126919586e-06,,no,03-2022
BC.1,18.24384515419981,0.0014654115866334,2.168519829229612,yes,03-2022
BA.1.1.3,18.217118646353573,7.230649276151752e-06,,no,03-2022
BD.1,18.16757682579287,0.0011002637981877,2.106732301568268,yes,03-2022
BA.1.24,18.08037697802857,1.2051082126919586e-06,,no,03-2022
XP,18.068258274563583,8.556268310112907e-05,,no,03-2022
BA.1.1.2,17.834973902665524,0.0113822470688755,1.837279532086773,yes,03-2022
EH.1,17.688334770287454,1.2051082126919586e-06,,no,03-2022
BA.1.1.12,17.60887551012032,0.000496504583629,,no,03-2022
BA.1.1.6,17.59187533895138,8.797289952651299e-05,,no,03-2022
BA.1.1.5,17.56429021969488,0.0001084597391422,,no,03-2022
BA.1.1.13,17.515124272335992,0.000700167871574,,no,03-2022
BA.1.15.2,17.512691105911287,0.0003567120309568,,no,03-2022
BA.1.1.4,17.449167600171968,0.000175945799053,,no,03-2022
BA.1.1.15,17.443737658533895,0.0019257629238817,1.5203259451742406,yes,03-2022
BA.1.3,17.24013293368572,1.687151497768742e-05,,no,03-2022
BA.5.3.1,17.209715172901443,6.025541063459794e-06,,no,03-2022
BA.4.1.9,17.172094293758878,1.2051082126919586e-06,,no,03-2022
BA.1.17.1,17.151655393991916,6.025541063459793e-05,,no,03-2022
BA.2.2.1,17.103397243712408,0.0001337670116088,,no,03-2022
BA.1.1.14,17.079356371969194,0.0029332333896922,1.2251284589678542,yes,03-2022
BA.1.15.1,16.945238680566938,0.0008050122860782,,no,03-2022
BA.1.1.16,16.93903345326218,0.0009689070030043,,no,03-2022
BA.1.10,16.863804274531024,0.0001144852802057,,no,03-2022
BA.1.1.8,16.847418442811136,3.735835459345072e-05,,no,03-2022
BQ.1.1,16.82787929396221,1.2051082126919588e-05,,no,03-2022
BQ.1,16.823453817858876,1.2051082126919586e-06,,no,03-2022
BA.1.1.17,16.796038536688954,3.0127705317298965e-05,,no,03-2022
CP.7,16.78459429375888,3.615324638075876e-06,,no,03-2022
BA.1.1,16.779546262344745,0.1274401934921746,0.9822422461911626,no,03-2022
BA.1.6,16.773993813230444,4.09736792315266e-05,,no,03-2022
BA.1.17.2,16.733423390571744,0.0054639606363453,0.9448765627545304,no,03-2022
BA.1.8,16.70401514657768,5.905030242190598e-05,,no,03-2022
BA.1.1.10,16.628938072757354,0.0006724503826821,,no,03-2022
BA.2.47,16.623978839642007,0.0003073025942364,,no,03-2022
BA.1.1.18,16.616217772133112,0.0035888122573966,0.8499243651306121,no,03-2022
BA.2.9.3,16.604350081315193,0.0004627615536737,,no,03-2022
BA.1.16.1,16.58876235537143,8.43575748884371e-06,,no,03-2022
BA.2.55,16.574433392721144,6.387073527267381e-05,,no,03-2022
BA.2.3.7,16.539594293758874,6.025541063459794e-06,,no,03-2022
BA.1.1.9,16.525875301406593,0.0005001199082671,,no,03-2022
BA.5.2.28,16.518539208731223,9.640865701535667e-06,,no,03-2022
BA.1.23,16.501486619001362,8.43575748884371e-06,,no,03-2022
BA.2.10.2,16.4785111300737,0.0001988428550941,,no,03-2022
