Pango lineage,antigenic_score,frequency,zscore,significant,date
BC.1,18.24384515419981,0.0014654115866334,2.168519829229612,yes,03-2022
BD.1,18.16757682579287,0.0011002637981877,2.106732301568268,yes,03-2022
BA.1.1.2,17.834973902665524,0.0113822470688755,1.837279532086773,yes,03-2022
BA.1.1.15,17.443737658533895,0.0019257629238817,1.5203259451742406,yes,03-2022
BA.1.1.14,17.079356371969194,0.0029332333896922,1.2251284589678542,yes,03-2022
BA.2.9.3,16.918669475928056,0.0036749271528931,2.5765520512204048,yes,05-2022
BA.1.1,16.716117582991238,0.0043553160292587,2.298242368941852,yes,05-2022
BA.2.3.7,16.344204718269204,0.0027422360184222,1.787227884133344,yes,05-2022
BA.2.3.1,16.191929731696682,0.0074594610244712,1.5779995105175566,yes,05-2022
BG.5,16.03584602804984,0.0014434998045691,1.3635378960592666,yes,05-2022
BA.2.10.1,15.80925034412615,0.0026305612484412,1.0521916435798346,yes,05-2022
BA.2.75.1,16.565462585731225,0.0012840154419307,2.533798746242826,yes,07-2022
BA.2.3.1,16.29249433338885,0.0014409319151233,2.040194343720936,yes,07-2022
BA.2.56,16.11187850054831,0.0024482344365854,1.7135894382412131,yes,07-2022
BA.2.75.3,15.939168916447734,0.0010174261648939,1.4012812839477151,yes,07-2022
BA.2.75,15.904336851550122,0.0041355083418821,1.3382949826659654,yes,07-2022
BA.2.12.1,15.866744883692624,0.042573295178446,1.270317990196351,yes,07-2022
BA.2.2,15.797291706509853,0.0019673613735759,1.1447268500825518,yes,07-2022
XBB.1,19.43439582767935,0.001276509502736,3.478974732672994,yes,09-2022
BA.2.75.2,19.13551511421493,0.0054932257274137,3.200900646675957,yes,09-2022
BA.2.75.5,18.88828461696696,0.0020357604155008,2.970881139040488,yes,09-2022
BA.2.3.20,18.596849781383973,0.0016818466434152,2.6997345849752525,yes,09-2022
BY.1,18.53462237797496,0.0010435918920472,2.6418391519566558,yes,09-2022
BM.1.1,18.29418797929251,0.0010829156445011,2.4181426314254635,yes,09-2022
BM.1.1.3,18.23453141817428,0.0022868274503991,2.362639071110745,yes,09-2022
BA.2.75.1,18.04009354437428,0.0022868274503991,2.18173702021083,yes,09-2022
BL.1,17.961955377353224,0.0020781090719896,2.109038453869748,yes,09-2022
