Continent,Country,country_score,date
North America,USA,0.088441904766476,01-2020
Asia,Hong Kong,0.0,01-2020
Asia,Japan,0.0,01-2020
Asia,China,0.000139425139425,01-2020
Asia,Lebanon,0.018590476192381,01-2020
Europe,Germany,0.012380952380952,01-2020
Asia,Singapore,0.0,01-2020
Europe,France,0.249850657134409,01-2020
Oceania,Australia,0.003095238095238,01-2020
South America,Argentina,0.0,01-2020
Asia,Thailand,0.0,01-2020
Asia,Malaysia,0.0,01-2020
Europe,United Kingdom,0.0,01-2020
Asia,South Korea,0.0,01-2020
Asia,United Arab Emirates,0.0,01-2020
Europe,Italy,0.0,01-2020
Asia,India,0.0,01-2020
Asia,Cambodia,0.0,01-2020
Asia,Vietnam,0.0,01-2020
Asia,Taiwan,0.0,01-2020
North America,Canada,0.0,01-2020
Asia,Philippines,0.0,01-2020
Europe,Finland,0.0,01-2020
Asia,Nepal,0.0,01-2020
Africa,Niger,0.012380952380952,01-2020
Asia,Qatar,0.067166666666667,01-2020
Asia,Sri Lanka,0.0,01-2020
Oceania,Papua New Guinea,0.0,01-2020
Europe,Sweden,0.0,01-2020
Europe,Norway,0.0,01-2020
Europe,Germany,0.000148272214386,02-2020
North America,USA,0.02716582957845,02-2020
Asia,United Arab Emirates,0.000257864720672,02-2020
Asia,South Korea,0.000322171725087,02-2020
Asia,Thailand,0.000658987619495,02-2020
Europe,United Kingdom,0.00038630308729,02-2020
Asia,China,0.001266555260468,02-2020
North America,Canada,0.0,02-2020
Asia,Saudi Arabia,0.0,02-2020
Asia,Japan,0.001131469308945,02-2020
Europe,Italy,0.000758155659322,02-2020
Europe,Spain,0.000494240714622,02-2020
Asia,Iran,0.0,02-2020
Europe,Netherlands,0.0,02-2020
South America,Brazil,0.000247120357311,02-2020
Europe,Switzerland,5.81e-05,02-2020
Europe,Lithuania,0.0,02-2020
Asia,Hong Kong,0.000395392571697,02-2020
Asia,Singapore,0.001835751225737,02-2020
Oceania,Australia,0.00107085488168,02-2020
Asia,Mongolia,0.0,02-2020
Europe,France,0.000242077084713,02-2020
Asia,Qatar,1.40471428573333,02-2020
Africa,Zambia,2.1070714286,02-2020
Europe,Norway,0.001078343377356,02-2020
Asia,Georgia,0.000988481429243,02-2020
Europe,Russia,0.0,02-2020
Asia,Kuwait,0.0,02-2020
Asia,Oman,0.0,02-2020
South America,Chile,0.0,02-2020
Asia,Malaysia,0.001537637778823,02-2020
Europe,Canary Islands,0.0,02-2020
North America,Panama,0.006860990220324,02-2020
Asia,India,0.0,02-2020
Asia,Bangladesh,0.0,02-2020
Oceania,New Zealand,0.0,02-2020
Europe,Austria,0.0,02-2020
Africa,Nigeria,0.0,02-2020
North America,Dominican Republic,0.0,02-2020
Europe,Denmark,0.0,02-2020
Europe,Sweden,0.000282423265498,02-2020
Asia,Taiwan,0.000988481429243,02-2020
Asia,Lebanon,0.0,02-2020
North America,Mexico,0.0,02-2020
Europe,Luxembourg,0.0,02-2020
Europe,Finland,0.0,02-2020
Africa,Senegal,0.0,02-2020
Europe,Iceland,0.001976962858486,02-2020
Africa,Morocco,0.045238095242857,02-2020
Asia,Pakistan,0.0,02-2020
Asia,Philippines,0.0,02-2020
Asia,Vietnam,0.0,02-2020
Europe,Belgium,0.113095238107143,02-2020
Asia,Israel,0.000988481429243,02-2020
Asia,Sri Lanka,0.0,02-2020
North America,Saint Barthelemy,0.0,02-2020
Europe,Greece,0.0,02-2020
Europe,Czech Republic,0.0,02-2020
Europe,Ireland,0.0,02-2020
North America,USA,0.005523963930595,03-2020
Europe,Belgium,0.000687436162725,03-2020
Europe,Luxembourg,0.003763999709206,03-2020
Oceania,Australia,0.004246287033073,03-2020
Europe,Germany,0.00151414913668,03-2020
Europe,Portugal,0.000799933850515,03-2020
Europe,France,0.001398930867257,03-2020
Europe,United Kingdom,0.005269131585215,03-2020
Oceania,New Zealand,0.001837708992471,03-2020
Asia,Japan,0.001928078303152,03-2020
North America,Canada,0.003514531042595,03-2020
Asia,Thailand,0.000628334038703,03-2020
Europe,Ireland,0.000804871393193,03-2020
Africa,Senegal,0.016054592289313,03-2020
Europe,Serbia,0.000417229746392,03-2020
Asia,Singapore,0.001351460043703,03-2020
Asia,Israel,0.000957381047952,03-2020
Europe,Slovenia,0.001031572307002,03-2020
Europe,Netherlands,0.000888704517891,03-2020
Africa,South Africa,0.000794042916084,03-2020
North America,Cuba,0.000767733836158,03-2020
Europe,Denmark,0.000526379019164,03-2020
South America,Brazil,0.001373675647067,03-2020
Asia,Palestine,0.000737833822386,03-2020
Asia,India,0.009363455814643,03-2020
Europe,Italy,0.00213654561025,03-2020
Europe,Switzerland,0.001548123571372,03-2020
Europe,Spain,0.001547369222028,03-2020
Europe,Austria,0.000704584063772,03-2020
Asia,Vietnam,0.002128340987596,03-2020
Oceania,Guam,0.001551122744995,03-2020
Asia,Lebanon,0.001163464664579,03-2020
South America,Chile,0.000804319967602,03-2020
Europe,Sweden,0.000918724323206,03-2020
Europe,Norway,0.000850114413918,03-2020
Europe,Iceland,0.001252595782054,03-2020
Asia,Hong Kong,0.001591198638805,03-2020
Europe,Czech Republic,0.000930188146309,03-2020
Africa,Tunisia,0.008805204098768,03-2020
South America,Peru,0.001239123853043,03-2020
Europe,Canary Islands,0.001161967413135,03-2020
North America,Mexico,0.004326121393367,03-2020
Africa,Reunion,0.00042148927751,03-2020
Europe,Moldova,0.000674382844015,03-2020
Europe,Russia,0.001065662940407,03-2020
North America,Costa Rica,0.001918873363596,03-2020
Europe,Faroe Islands,0.00024085101572,03-2020
North America,Panama,0.002201131918441,03-2020
Asia,South Korea,0.001647137740605,03-2020
Asia,Malaysia,0.001464788700302,03-2020
Asia,Saudi Arabia,0.001549401290999,03-2020
Asia,Oman,0.001657292564691,03-2020
South America,Colombia,0.001893130895605,03-2020
Asia,China,0.001441489488703,03-2020
Asia,Philippines,0.002817267790197,03-2020
Asia,Taiwan,0.002060481326554,03-2020
Europe,Romania,0.000908730596203,03-2020
Asia,United Arab Emirates,0.001197625736805,03-2020
Europe,Hungary,0.000975756954724,03-2020
Europe,Finland,0.000856354358018,03-2020
Asia,Bahrain,0.002436280401428,03-2020
Europe,Bosnia and Herzegovina,0.000827196664506,03-2020
Africa,Kenya,0.00096977118864,03-2020
South America,Uruguay,0.001923582027336,03-2020
Europe,Estonia,0.001834969889257,03-2020
South America,Argentina,0.001299768092978,03-2020
North America,Jamaica,0.000905309596143,03-2020
Europe,Lithuania,0.00061874540106,03-2020
Africa,Uganda,0.001563500117943,03-2020
Europe,Croatia,0.000864618507549,03-2020
Europe,Greece,0.000980604487648,03-2020
Europe,Turkey,0.001735519215116,03-2020
Europe,Latvia,0.001174625376707,03-2020
Asia,Kuwait,0.001610384928394,03-2020
Africa,Ghana,0.002134290471229,03-2020
Europe,Poland,0.000791438302658,03-2020
Africa,Democratic Republic of the Congo,0.000710847439222,03-2020
Africa,Gabon,0.002504494741243,03-2020
North America,Nicaragua,0.000609024099126,03-2020
South America,Ecuador,0.000806207570599,03-2020
Asia,Qatar,0.063806920801829,03-2020
Asia,Jordan,0.000683933818889,03-2020
Asia,Iran,0.001644144715321,03-2020
North America,Guadeloupe,0.000889966144884,03-2020
Asia,Georgia,0.001114396975688,03-2020
Europe,Azerbaijan,0.001173484848485,03-2020
Africa,Togo,0.004118809544061,03-2020
South America,French Guiana,0.000842978555019,03-2020
Asia,Kazakhstan,0.001244074623385,03-2020
Africa,Nigeria,0.003346673004628,03-2020
Asia,Indonesia,0.000906399400195,03-2020
Africa,Guinea,0.010215077829971,03-2020
Europe,Bulgaria,0.00042148927751,03-2020
Africa,Burkina Faso,1.0941428572,03-2020
North America,Haiti,0.002028842066395,03-2020
Africa,Niger,0.005843631675996,03-2020
Africa,Madagascar,0.001357810567567,03-2020
Asia,Cambodia,0.001468796572005,03-2020
Africa,Benin,0.002591788734672,03-2020
North America,Saint Kitts and Nevis,0.000849885891905,03-2020
Asia,Bangladesh,0.000798675004115,03-2020
Europe,North Macedonia,0.000753285293435,03-2020
South America,Venezuela,0.001025071680887,03-2020
North America,Puerto Rico,0.007088480845525,03-2020
North America,Guatemala,0.001485919670573,03-2020
Asia,Timor-Leste,0.0,03-2020
Africa,Cameroon,0.000830594736571,03-2020
Africa,Zambia,0.001983575899686,03-2020
Africa,Gambia,0.001440838812878,03-2020
South America,Bolivia,0.00061874540106,03-2020
Europe,Slovakia,0.000778911939602,03-2020
South America,Curacao,0.0,03-2020
Africa,Egypt,0.000674382844015,03-2020
Africa,Morocco,0.00086423033131,03-2020
Africa,Zimbabwe,0.00405768413279,03-2020
Africa,Equatorial Guinea,0.00201981736641,03-2020
South America,Aruba,0.000609552479782,03-2020
North America,Saint Barthelemy,0.000842978555019,03-2020
North America,Saint Martin,0.000842978555019,03-2020
North America,U.S. Virgin Islands,0.010439625261475,03-2020
Africa,Botswana,0.000842978555019,03-2020
North America,Dominican Republic,0.000842978555019,03-2020
Asia,Sri Lanka,0.001416871317522,03-2020
Africa,Algeria,0.000842978555019,03-2020
Europe,Montenegro,0.000974482637386,03-2020
North America,Belize,0.001105986719753,03-2020
Asia,Mongolia,0.000609552479782,03-2020
Europe,Cyprus,0.00030937270053,03-2020
Asia,Pakistan,0.00183730498228,03-2020
Asia,Brunei,0.001777479892761,03-2020
Asia,Uzbekistan,0.000863700565678,03-2020
Europe,Crimea,0.000842978555019,03-2020
Europe,Belarus,0.002854522263438,03-2020
Africa,Sierra Leone,0.001040234678569,03-2020
South America,Guyana,0.000842978555019,03-2020
Africa,Guinea-Bissau,0.00405768413279,03-2020
Europe,Andorra,0.000842978555019,03-2020
North America,The Bahamas,0.0,03-2020
South America,Paraguay,0.000138936980609,03-2020
Oceania,Fiji,0.014928575914173,03-2020
Africa,Mali,0.00405768413279,03-2020
Europe,Belgium,0.002424075241554,04-2020
Europe,France,0.004530103948075,04-2020
North America,USA,0.004635992218637,04-2020
Europe,Portugal,0.00320368709882,04-2020
Europe,Spain,0.004156476614331,04-2020
Asia,Japan,0.00666976579624,04-2020
Asia,United Arab Emirates,0.003547234956195,04-2020
Asia,Malaysia,0.002439617210604,04-2020
South America,Brazil,0.006846192455309,04-2020
Europe,United Kingdom,0.017643523726447,04-2020
Europe,Germany,0.004220945205825,04-2020
Europe,Ireland,0.003053178980518,04-2020
South America,Uruguay,0.005613043433787,04-2020
North America,Canada,0.004784434385784,04-2020
Africa,South Africa,0.003564318999457,04-2020
Oceania,Australia,0.004618665244584,04-2020
South America,Argentina,0.003665229695439,04-2020
Asia,Saudi Arabia,0.006081189509909,04-2020
Europe,Azerbaijan,0.000840653110353,04-2020
Africa,Equatorial Guinea,0.001592814569633,04-2020
Asia,Singapore,0.001331825138647,04-2020
Europe,Denmark,0.003630514185976,04-2020
Europe,Italy,0.00521877410444,04-2020
Africa,Senegal,0.028314690288564,04-2020
Asia,Bangladesh,0.002606484778047,04-2020
Oceania,New Zealand,0.002448288183568,04-2020
Europe,Switzerland,0.003870793887909,04-2020
Europe,Austria,0.005444303230075,04-2020
Africa,Morocco,0.004706728503757,04-2020
Africa,Democratic Republic of the Congo,0.001774514238159,04-2020
Asia,Kuwait,0.002749001849713,04-2020
Asia,Oman,0.001025987478084,04-2020
Africa,Kenya,0.004718836198034,04-2020
Europe,Slovakia,0.003569896068362,04-2020
Asia,India,0.002812717970009,04-2020
North America,Panama,0.002135859056879,04-2020
South America,Chile,0.004278962934605,04-2020
Asia,Qatar,0.007869494924157,04-2020
Europe,Netherlands,0.002918423242265,04-2020
North America,Nicaragua,0.002096525460454,04-2020
Africa,Gabon,0.002956562557087,04-2020
Asia,Hong Kong,0.007840692236124,04-2020
Europe,Lithuania,0.000545336917392,04-2020
Europe,Finland,0.004611270876703,04-2020
North America,Mexico,0.003581756472245,04-2020
Africa,Nigeria,0.002742612704916,04-2020
Europe,Russia,0.003382485627258,04-2020
Asia,Sri Lanka,0.004663608710557,04-2020
Europe,Sweden,0.004076519671716,04-2020
South America,Peru,0.001536101680763,04-2020
Africa,Ghana,0.001135416666667,04-2020
South America,Colombia,0.003646180227176,04-2020
Europe,Turkey,0.002626806835765,04-2020
Africa,Sierra Leone,0.001113641842269,04-2020
Europe,Romania,0.024573323751047,04-2020
Asia,Taiwan,0.003417911539667,04-2020
