lineage	antigenic_score	normalized_antigenic_score	significantly_antigenically_altered	run_date
KP.3.1.6	28.97	1.1247	yes	2024-11-06
LP.8.1.2	28.97	1.22976313630032	yes	2025-02-06
NW.1	29.85	1.29718612088062	yes	2025-03-05
LP.8.1.3	29.54	1.1754667610318	yes	2025-03-05
LR.1	29.25	1.06242906082148	yes	2025-04-02
XFC	29.58	1.21212292155408	yes	2025-05-13
MV.1.1.1	29.37	1.14786945591909	yes	2025-05-20
XFG	29.7	1.2669360447756	yes	2025-05-27
PC.2.2	29.04	1.07071327065653	yes	2025-06-10
NW.1.2	29.87	1.00203173103977	yes	2025-07-01
NW.1.1.1	30.58	1.10960168291224	yes	2025-07-15
